check,flag,value,record_start,record_end,flagged_timestamps,message,basin_id,series,check_group,threshold,expected_timestep,series_type,status
spike_dip,True,2.0,,,"['2010-05-05 00:00:00', '2013-07-11 00:00:00']",Spike/dip candidates = 2; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_4123300,sim,behavioural,,,sim,completed
step_shift,False,0.0,,,[],Step-shift candidates = 0; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_4123300,sim,behavioural,,,sim,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_4123300,sim,behavioural,,,sim,completed
missing_values,True,351.0,1980-01-10 00:00:00,2023-05-02 00:00:00,"['1984-01-25 00:00:00', '1984-01-26 00:00:00', '1984-01-27 00:00:00', '1984-01-28 00:00:00', '1984-01-29 00:00:00', '1984-01-30 00:00:00', '1984-01-31 00:00:00', '1984-02-01 00:00:00', '1984-02-02 00:00:00', '1984-02-03 00:00:00', '1984-02-04 00:00:00', '1984-02-05 00:00:00', '1984-02-06 00:00:00', '1984-02-07 00:00:00', '1984-02-08 00:00:00', '1984-02-09 00:00:00', '1984-02-10 00:00:00', '1984-02-11 00:00:00', '1984-02-12 00:00:00', '1984-02-13 00:00:00', '1984-02-14 00:00:00', '1984-02-15 00:00:00', '1984-02-16 00:00:00', '1984-02-17 00:00:00', '1984-02-18 00:00:00', '1984-02-19 00:00:00', '1984-02-20 00:00:00', '1984-02-21 00:00:00', '1984-02-22 00:00:00', '1984-02-23 00:00:00', '1984-02-24 00:00:00', '1984-02-25 00:00:00', '1984-02-26 00:00:00', '1984-02-27 00:00:00', '1984-02-28 00:00:00', '1984-02-29 00:00:00', '1984-03-01 00:00:00', '1984-03-02 00:00:00', '1984-03-03 00:00:00', '1984-03-04 00:00:00', '1984-03-05 00:00:00', '1984-03-06 00:00:00', '1984-03-07 00:00:00', '1984-03-08 00:00:00', '1984-03-09 00:00:00', '1984-03-10 00:00:00', '1984-03-11 00:00:00', '1984-03-12 00:00:00', '1984-03-13 00:00:00', '1984-03-14 00:00:00', '1984-03-15 00:00:00', '1984-03-16 00:00:00', '1984-03-17 00:00:00', '1984-03-18 00:00:00', '1984-03-19 00:00:00', '1984-03-20 00:00:00', '1984-03-21 00:00:00', '1984-10-12 00:00:00', '1984-10-13 00:00:00', '1984-10-14 00:00:00', '1984-10-15 00:00:00', '1984-10-16 00:00:00', '1984-10-17 00:00:00', '1984-10-18 00:00:00', '1984-10-19 00:00:00', '1984-10-20 00:00:00', '1984-10-21 00:00:00', '1984-10-22 00:00:00', '1984-10-23 00:00:00', '1984-10-24 00:00:00', '1984-10-25 00:00:00', '1984-10-26 00:00:00', '1984-10-27 00:00:00', '1984-10-28 00:00:00', '1984-10-29 00:00:00', '1984-10-30 00:00:00', '1984-10-31 00:00:00', '1984-11-01 00:00:00', '1984-11-02 00:00:00', '1984-11-03 00:00:00', '1984-11-04 00:00:00', '1984-11-05 00:00:00', '1984-11-06 00:00:00', '1984-11-07 00:00:00', '1984-11-08 00:00:00', '1984-11-09 00:00:00', '1984-11-10 00:00:00', '1984-11-11 00:00:00', '1984-11-12 00:00:00', '1984-11-13 00:00:00', '1984-11-14 00:00:00', '1984-11-15 00:00:00', '1984-11-16 00:00:00', '1984-11-17 00:00:00', '1984-11-18 00:00:00', '1984-11-19 00:00:00', '1984-11-20 00:00:00', '1984-11-21 00:00:00', '1984-11-22 00:00:00', '1984-11-23 00:00:00', '1984-11-24 00:00:00', '1984-11-25 00:00:00', '1984-11-26 00:00:00', '1984-11-27 00:00:00', '1984-11-28 00:00:00', '1984-11-29 00:00:00', '1984-11-30 00:00:00', '1984-12-01 00:00:00', '1984-12-02 00:00:00', '1984-12-03 00:00:00', '1984-12-04 00:00:00', '1984-12-05 00:00:00', '1984-12-06 00:00:00', '1984-12-07 00:00:00', '1984-12-08 00:00:00', '1984-12-09 00:00:00', '1984-12-10 00:00:00', '1984-12-11 00:00:00', '1984-12-12 00:00:00', '1984-12-13 00:00:00', '1984-12-14 00:00:00', '1984-12-15 00:00:00', '1984-12-16 00:00:00', '1984-12-17 00:00:00', '1984-12-18 00:00:00', '1984-12-19 00:00:00', '1984-12-20 00:00:00', '1984-12-21 00:00:00', '1984-12-22 00:00:00', '1984-12-23 00:00:00', '1984-12-24 00:00:00', '1984-12-25 00:00:00', '1984-12-26 00:00:00', '1984-12-27 00:00:00', '1984-12-28 00:00:00', '1984-12-29 00:00:00', '1984-12-30 00:00:00', '1984-12-31 00:00:00', '1985-01-01 00:00:00', '1985-01-02 00:00:00', '1985-01-03 00:00:00', '1985-01-04 00:00:00', '1985-01-05 00:00:00', '1985-01-06 00:00:00', '1985-01-07 00:00:00', '1985-01-08 00:00:00', '1985-01-09 00:00:00', '1985-01-10 00:00:00', '1985-01-11 00:00:00', '1985-01-12 00:00:00', '1985-01-13 00:00:00', '1985-01-14 00:00:00', '1985-01-15 00:00:00', '1985-01-16 00:00:00', '1985-01-17 00:00:00', '1985-01-18 00:00:00', '1985-01-19 00:00:00', '1985-01-20 00:00:00', '1985-01-21 00:00:00', '1985-01-22 00:00:00', '1985-01-23 00:00:00', '1985-01-24 00:00:00', '1985-01-25 00:00:00', '1987-09-04 00:00:00', '1987-09-05 00:00:00', '1987-09-06 00:00:00', '1987-09-07 00:00:00', '1987-09-08 00:00:00', '1987-09-09 00:00:00', '1987-09-10 00:00:00', '1987-09-11 00:00:00', '1987-09-12 00:00:00', '1987-09-13 00:00:00', '1987-09-14 00:00:00', '1987-09-15 00:00:00', '1987-09-16 00:00:00', '1987-09-17 00:00:00', '1987-09-18 00:00:00', '1987-09-19 00:00:00', '1987-09-20 00:00:00', '1987-09-21 00:00:00', '1987-09-22 00:00:00', '1987-09-23 00:00:00', '1987-09-24 00:00:00', '1987-09-25 00:00:00', '1987-09-26 00:00:00', '1987-09-27 00:00:00', '1987-09-28 00:00:00', '1987-09-29 00:00:00', '1987-09-30 00:00:00', '1987-10-01 00:00:00', '1987-10-02 00:00:00', '1987-10-03 00:00:00', '1987-10-04 00:00:00', '1987-10-05 00:00:00', '1987-10-06 00:00:00', '1987-10-07 00:00:00', '1987-10-08 00:00:00', '1987-10-09 00:00:00', '1987-10-10 00:00:00', '1987-10-11 00:00:00', '1987-10-12 00:00:00', '1987-10-13 00:00:00', '1987-10-14 00:00:00', '1987-10-15 00:00:00', '1987-10-16 00:00:00', '1987-10-17 00:00:00', '1987-10-18 00:00:00', '1987-10-19 00:00:00', '1987-10-20 00:00:00', '1987-10-21 00:00:00', '1987-10-22 00:00:00', '1987-10-23 00:00:00', '1987-10-24 00:00:00', '1987-10-25 00:00:00', '1987-10-26 00:00:00', '1987-10-27 00:00:00', '1987-10-28 00:00:00', '1987-10-29 00:00:00', '1987-10-30 00:00:00', '1987-10-31 00:00:00', '1987-11-01 00:00:00', '1987-11-02 00:00:00', '1987-11-03 00:00:00', '1987-11-04 00:00:00', '1987-11-05 00:00:00', '1987-11-06 00:00:00', '1990-05-29 00:00:00', '1990-05-30 00:00:00', '1990-05-31 00:00:00', '1990-06-01 00:00:00', '1990-06-02 00:00:00', '1990-06-03 00:00:00', '1990-06-04 00:00:00', '1990-06-05 00:00:00', '1990-06-06 00:00:00', '1990-06-07 00:00:00', '1990-06-08 00:00:00', '1990-06-09 00:00:00', '1990-06-10 00:00:00', '1990-06-11 00:00:00', '1990-06-12 00:00:00', '1990-06-13 00:00:00', '1990-06-14 00:00:00', '1990-06-15 00:00:00', '1990-06-16 00:00:00', '1990-06-17 00:00:00', '1990-06-18 00:00:00', '1990-06-19 00:00:00', '1990-06-20 00:00:00', '1990-06-21 00:00:00', '1990-06-22 00:00:00', '1990-06-23 00:00:00', '1990-06-24 00:00:00', '1990-06-25 00:00:00', '1990-06-26 00:00:00', '1990-06-27 00:00:00', '1990-06-28 00:00:00', '1990-06-29 00:00:00', '1990-06-30 00:00:00', '1990-07-01 00:00:00', '1990-07-02 00:00:00', '1990-07-03 00:00:00', '1990-07-04 00:00:00', '1990-07-05 00:00:00', '1990-07-06 00:00:00', '1990-07-07 00:00:00', '1990-07-08 00:00:00', '1990-07-09 00:00:00', '1990-07-10 00:00:00', '1990-07-11 00:00:00', '1991-07-05 00:00:00', '1991-07-06 00:00:00', '1991-07-07 00:00:00', '1991-07-08 00:00:00', '1991-07-09 00:00:00', '1991-07-10 00:00:00', '1991-07-11 00:00:00', '1991-07-12 00:00:00', '1991-07-13 00:00:00', '1991-07-14 00:00:00', '1991-07-15 00:00:00', '1991-07-16 00:00:00', '1991-07-17 00:00:00', '1991-07-18 00:00:00', '1991-07-19 00:00:00', '1991-07-20 00:00:00', '1991-07-21 00:00:00', '1991-07-22 00:00:00', '1991-07-23 00:00:00', '1991-07-24 00:00:00', '1991-07-25 00:00:00', '1991-07-26 00:00:00', '1991-07-27 00:00:00', '1991-07-28 00:00:00', '1991-07-29 00:00:00', '1991-07-30 00:00:00', '1991-07-31 00:00:00', '1991-08-01 00:00:00', '1991-08-02 00:00:00', '1991-08-03 00:00:00', '1991-08-04 00:00:00', '1991-08-05 00:00:00', '1991-08-06 00:00:00', '1991-08-07 00:00:00', '1991-08-08 00:00:00', '1991-08-09 00:00:00', '1991-08-10 00:00:00', '1991-08-11 00:00:00', '1991-08-12 00:00:00', '1991-08-13 00:00:00', '1991-08-14 00:00:00', '1991-08-15 00:00:00', '1991-08-16 00:00:00', '1991-08-17 00:00:00', '1991-08-18 00:00:00', '1991-08-19 00:00:00', '1991-08-20 00:00:00', '1991-08-21 00:00:00', '1991-08-22 00:00:00', '1991-08-23 00:00:00', '1991-08-24 00:00:00', '1991-08-25 00:00:00', '1991-08-26 00:00:00', '1991-08-27 00:00:00', '1991-08-28 00:00:00', '1991-08-29 00:00:00', '1991-08-30 00:00:00', '1991-08-31 00:00:00', '1991-09-01 00:00:00', '1991-09-02 00:00:00', '1991-09-03 00:00:00', '1991-09-04 00:00:00', '1991-09-05 00:00:00', '2017-01-09 00:00:00', '2017-01-10 00:00:00', '2017-01-11 00:00:00', '2017-01-12 00:00:00', '2017-01-13 00:00:00', '2017-01-14 00:00:00', '2017-01-15 00:00:00', '2017-01-16 00:00:00', '2017-01-17 00:00:00', '2017-01-18 00:00:00', '2017-01-19 00:00:00', '2017-01-20 00:00:00', '2017-01-21 00:00:00', '2017-01-22 00:00:00', '2017-01-23 00:00:00', '2017-01-24 00:00:00', '2017-01-25 00:00:00']",Internal missing day count = 351.,GRDC_5304140,obs,basic,,,,
long_gaps,True,106.0,,,"['1984-01-25 00:00:00', '1984-01-26 00:00:00', '1984-01-27 00:00:00', '1984-01-28 00:00:00', '1984-01-29 00:00:00', '1984-01-30 00:00:00', '1984-01-31 00:00:00', '1984-02-01 00:00:00', '1984-02-02 00:00:00', '1984-02-03 00:00:00', '1984-02-04 00:00:00', '1984-02-05 00:00:00', '1984-02-06 00:00:00', '1984-02-07 00:00:00', '1984-02-08 00:00:00', '1984-02-09 00:00:00', '1984-02-10 00:00:00', '1984-02-11 00:00:00', '1984-02-12 00:00:00', '1984-02-13 00:00:00', '1984-02-14 00:00:00', '1984-02-15 00:00:00', '1984-02-16 00:00:00', '1984-02-17 00:00:00', '1984-02-18 00:00:00', '1984-02-19 00:00:00', '1984-02-20 00:00:00', '1984-02-21 00:00:00', '1984-02-22 00:00:00', '1984-02-23 00:00:00', '1984-02-24 00:00:00', '1984-02-25 00:00:00', '1984-02-26 00:00:00', '1984-02-27 00:00:00', '1984-02-28 00:00:00', '1984-02-29 00:00:00', '1984-03-01 00:00:00', '1984-03-02 00:00:00', '1984-03-03 00:00:00', '1984-03-04 00:00:00', '1984-03-05 00:00:00', '1984-03-06 00:00:00', '1984-03-07 00:00:00', '1984-03-08 00:00:00', '1984-03-09 00:00:00', '1984-03-10 00:00:00', '1984-03-11 00:00:00', '1984-03-12 00:00:00', '1984-03-13 00:00:00', '1984-03-14 00:00:00', '1984-03-15 00:00:00', '1984-03-16 00:00:00', '1984-03-17 00:00:00', '1984-03-18 00:00:00', '1984-03-19 00:00:00', '1984-03-20 00:00:00', '1984-03-21 00:00:00', '1984-10-12 00:00:00', '1984-10-13 00:00:00', '1984-10-14 00:00:00', '1984-10-15 00:00:00', '1984-10-16 00:00:00', '1984-10-17 00:00:00', '1984-10-18 00:00:00', '1984-10-19 00:00:00', '1984-10-20 00:00:00', '1984-10-21 00:00:00', '1984-10-22 00:00:00', '1984-10-23 00:00:00', '1984-10-24 00:00:00', '1984-10-25 00:00:00', '1984-10-26 00:00:00', '1984-10-27 00:00:00', '1984-10-28 00:00:00', '1984-10-29 00:00:00', '1984-10-30 00:00:00', '1984-10-31 00:00:00', '1984-11-01 00:00:00', '1984-11-02 00:00:00', '1984-11-03 00:00:00', '1984-11-04 00:00:00', '1984-11-05 00:00:00', '1984-11-06 00:00:00', '1984-11-07 00:00:00', '1984-11-08 00:00:00', '1984-11-09 00:00:00', '1984-11-10 00:00:00', '1984-11-11 00:00:00', '1984-11-12 00:00:00', '1984-11-13 00:00:00', '1984-11-14 00:00:00', '1984-11-15 00:00:00', '1984-11-16 00:00:00', '1984-11-17 00:00:00', '1984-11-18 00:00:00', '1984-11-19 00:00:00', '1984-11-20 00:00:00', '1984-11-21 00:00:00', '1984-11-22 00:00:00', '1984-11-23 00:00:00', '1984-11-24 00:00:00', '1984-11-25 00:00:00', '1984-11-26 00:00:00', '1984-11-27 00:00:00', '1984-11-28 00:00:00', '1984-11-29 00:00:00', '1984-11-30 00:00:00', '1984-12-01 00:00:00', '1984-12-02 00:00:00', '1984-12-03 00:00:00', '1984-12-04 00:00:00', '1984-12-05 00:00:00', '1984-12-06 00:00:00', '1984-12-07 00:00:00', '1984-12-08 00:00:00', '1984-12-09 00:00:00', '1984-12-10 00:00:00', '1984-12-11 00:00:00', '1984-12-12 00:00:00', '1984-12-13 00:00:00', '1984-12-14 00:00:00', '1984-12-15 00:00:00', '1984-12-16 00:00:00', '1984-12-17 00:00:00', '1984-12-18 00:00:00', '1984-12-19 00:00:00', '1984-12-20 00:00:00', '1984-12-21 00:00:00', '1984-12-22 00:00:00', '1984-12-23 00:00:00', '1984-12-24 00:00:00', '1984-12-25 00:00:00', '1984-12-26 00:00:00', '1984-12-27 00:00:00', '1984-12-28 00:00:00', '1984-12-29 00:00:00', '1984-12-30 00:00:00', '1984-12-31 00:00:00', '1985-01-01 00:00:00', '1985-01-02 00:00:00', '1985-01-03 00:00:00', '1985-01-04 00:00:00', '1985-01-05 00:00:00', '1985-01-06 00:00:00', '1985-01-07 00:00:00', '1985-01-08 00:00:00', '1985-01-09 00:00:00', '1985-01-10 00:00:00', '1985-01-11 00:00:00', '1985-01-12 00:00:00', '1985-01-13 00:00:00', '1985-01-14 00:00:00', '1985-01-15 00:00:00', '1985-01-16 00:00:00', '1985-01-17 00:00:00', '1985-01-18 00:00:00', '1985-01-19 00:00:00', '1985-01-20 00:00:00', '1985-01-21 00:00:00', '1985-01-22 00:00:00', '1985-01-23 00:00:00', '1985-01-24 00:00:00', '1985-01-25 00:00:00', '1987-09-04 00:00:00', '1987-09-05 00:00:00', '1987-09-06 00:00:00', '1987-09-07 00:00:00', '1987-09-08 00:00:00', '1987-09-09 00:00:00', '1987-09-10 00:00:00', '1987-09-11 00:00:00', '1987-09-12 00:00:00', '1987-09-13 00:00:00', '1987-09-14 00:00:00', '1987-09-15 00:00:00', '1987-09-16 00:00:00', '1987-09-17 00:00:00', '1987-09-18 00:00:00', '1987-09-19 00:00:00', '1987-09-20 00:00:00', '1987-09-21 00:00:00', '1987-09-22 00:00:00', '1987-09-23 00:00:00', '1987-09-24 00:00:00', '1987-09-25 00:00:00', '1987-09-26 00:00:00', '1987-09-27 00:00:00', '1987-09-28 00:00:00', '1987-09-29 00:00:00', '1987-09-30 00:00:00', '1987-10-01 00:00:00', '1987-10-02 00:00:00', '1987-10-03 00:00:00', '1987-10-04 00:00:00', '1987-10-05 00:00:00', '1987-10-06 00:00:00', '1987-10-07 00:00:00', '1987-10-08 00:00:00', '1987-10-09 00:00:00', '1987-10-10 00:00:00', '1987-10-11 00:00:00', '1987-10-12 00:00:00', '1987-10-13 00:00:00', '1987-10-14 00:00:00', '1987-10-15 00:00:00', '1987-10-16 00:00:00', '1987-10-17 00:00:00', '1987-10-18 00:00:00', '1987-10-19 00:00:00', '1987-10-20 00:00:00', '1987-10-21 00:00:00', '1987-10-22 00:00:00', '1987-10-23 00:00:00', '1987-10-24 00:00:00', '1987-10-25 00:00:00', '1987-10-26 00:00:00', '1987-10-27 00:00:00', '1987-10-28 00:00:00', '1987-10-29 00:00:00', '1987-10-30 00:00:00', '1987-10-31 00:00:00', '1987-11-01 00:00:00', '1987-11-02 00:00:00', '1987-11-03 00:00:00', '1987-11-04 00:00:00', '1987-11-05 00:00:00', '1987-11-06 00:00:00', '1990-05-29 00:00:00', '1990-05-30 00:00:00', '1990-05-31 00:00:00', '1990-06-01 00:00:00', '1990-06-02 00:00:00', '1990-06-03 00:00:00', '1990-06-04 00:00:00', '1990-06-05 00:00:00', '1990-06-06 00:00:00', '1990-06-07 00:00:00', '1990-06-08 00:00:00', '1990-06-09 00:00:00', '1990-06-10 00:00:00', '1990-06-11 00:00:00', '1990-06-12 00:00:00', '1990-06-13 00:00:00', '1990-06-14 00:00:00', '1990-06-15 00:00:00', '1990-06-16 00:00:00', '1990-06-17 00:00:00', '1990-06-18 00:00:00', '1990-06-19 00:00:00', '1990-06-20 00:00:00', '1990-06-21 00:00:00', '1990-06-22 00:00:00', '1990-06-23 00:00:00', '1990-06-24 00:00:00', '1990-06-25 00:00:00', '1990-06-26 00:00:00', '1990-06-27 00:00:00', '1990-06-28 00:00:00', '1990-06-29 00:00:00', '1990-06-30 00:00:00', '1990-07-01 00:00:00', '1990-07-02 00:00:00', '1990-07-03 00:00:00', '1990-07-04 00:00:00', '1990-07-05 00:00:00', '1990-07-06 00:00:00', '1990-07-07 00:00:00', '1990-07-08 00:00:00', '1990-07-09 00:00:00', '1990-07-10 00:00:00', '1990-07-11 00:00:00', '1991-07-05 00:00:00', '1991-07-06 00:00:00', '1991-07-07 00:00:00', '1991-07-08 00:00:00', '1991-07-09 00:00:00', '1991-07-10 00:00:00', '1991-07-11 00:00:00', '1991-07-12 00:00:00', '1991-07-13 00:00:00', '1991-07-14 00:00:00', '1991-07-15 00:00:00', '1991-07-16 00:00:00', '1991-07-17 00:00:00', '1991-07-18 00:00:00', '1991-07-19 00:00:00', '1991-07-20 00:00:00', '1991-07-21 00:00:00', '1991-07-22 00:00:00', '1991-07-23 00:00:00', '1991-07-24 00:00:00', '1991-07-25 00:00:00', '1991-07-26 00:00:00', '1991-07-27 00:00:00', '1991-07-28 00:00:00', '1991-07-29 00:00:00', '1991-07-30 00:00:00', '1991-07-31 00:00:00', '1991-08-01 00:00:00', '1991-08-02 00:00:00', '1991-08-03 00:00:00', '1991-08-04 00:00:00', '1991-08-05 00:00:00', '1991-08-06 00:00:00', '1991-08-07 00:00:00', '1991-08-08 00:00:00', '1991-08-09 00:00:00', '1991-08-10 00:00:00', '1991-08-11 00:00:00', '1991-08-12 00:00:00', '1991-08-13 00:00:00', '1991-08-14 00:00:00', '1991-08-15 00:00:00', '1991-08-16 00:00:00', '1991-08-17 00:00:00', '1991-08-18 00:00:00', '1991-08-19 00:00:00', '1991-08-20 00:00:00', '1991-08-21 00:00:00', '1991-08-22 00:00:00', '1991-08-23 00:00:00', '1991-08-24 00:00:00', '1991-08-25 00:00:00', '1991-08-26 00:00:00', '1991-08-27 00:00:00', '1991-08-28 00:00:00', '1991-08-29 00:00:00', '1991-08-30 00:00:00', '1991-08-31 00:00:00', '1991-09-01 00:00:00', '1991-09-02 00:00:00', '1991-09-03 00:00:00', '1991-09-04 00:00:00', '1991-09-05 00:00:00', '2017-01-09 00:00:00', '2017-01-10 00:00:00', '2017-01-11 00:00:00', '2017-01-12 00:00:00', '2017-01-13 00:00:00', '2017-01-14 00:00:00', '2017-01-15 00:00:00', '2017-01-16 00:00:00', '2017-01-17 00:00:00', '2017-01-18 00:00:00', '2017-01-19 00:00:00', '2017-01-20 00:00:00', '2017-01-21 00:00:00', '2017-01-22 00:00:00', '2017-01-23 00:00:00', '2017-01-24 00:00:00', '2017-01-25 00:00:00']",Longest internal missing gap = 106 day(s).,GRDC_5304140,obs,basic,>3 consecutive missing days,,,
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_5304140,obs,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_5304140,obs,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_5304140,obs,basic,,1 day,,
missing_values,False,0.0,1980-01-10 00:00:00,2023-05-19 00:00:00,[],Internal missing day count = 0.,GRDC_5304140,sim,basic,,,,
long_gaps,False,0.0,,,[],Longest internal missing gap = 0 day(s).,GRDC_5304140,sim,basic,>3 consecutive missing days,,,
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_5304140,sim,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_5304140,sim,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_5304140,sim,basic,,1 day,,
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_5304140,obs,behavioural,,,obs,descriptor
low_variability,True,19.0,,,"['2002-11-12 00:00:00', '2002-11-13 00:00:00', '2002-11-14 00:00:00', '2002-11-15 00:00:00', '2002-11-16 00:00:00', '2002-11-17 00:00:00', '2002-11-18 00:00:00', '2002-11-19 00:00:00', '2002-11-20 00:00:00', '2002-11-21 00:00:00', '2002-11-22 00:00:00', '2002-11-23 00:00:00', '2002-11-24 00:00:00', '2002-11-25 00:00:00', '2002-11-26 00:00:00', '2002-11-27 00:00:00', '2002-11-28 00:00:00', '2002-11-29 00:00:00', '2002-11-30 00:00:00']",Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 18.7 timestep(s); flagged timesteps = 19.,GRDC_5304140,obs,behavioural,,,obs,completed
spike_dip,False,0.0,,,[],Spike/dip candidates = 0; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_5304140,obs,behavioural,,,obs,completed
step_shift,True,2.0,,,"['1987-11-09 00:00:00', '1987-11-10 00:00:00']",Step-shift candidates = 2; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_5304140,obs,behavioural,,,obs,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_5304140,obs,behavioural,,,obs,completed
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_5304140,sim,behavioural,,,sim,descriptor
low_variability,True,5.0,,,"['2018-08-25 00:00:00', '2018-08-26 00:00:00', '2018-08-27 00:00:00', '2018-08-28 00:00:00', '2018-08-29 00:00:00']",Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 4.8 timestep(s); flagged timesteps = 5.,GRDC_5304140,sim,behavioural,,,sim,completed
spike_dip,False,0.0,,,[],Spike/dip candidates = 0; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_5304140,sim,behavioural,,,sim,completed
step_shift,True,4.0,,,"['2010-03-06 00:00:00', '2010-03-07 00:00:00', '2010-03-08 00:00:00', '2010-03-09 00:00:00']",Step-shift candidates = 4; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_5304140,sim,behavioural,,,sim,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_5304140,sim,behavioural,,,sim,completed
missing_values,False,0.0,1980-01-10 00:00:00,2022-10-31 00:00:00,[],Internal missing day count = 0.,GRDC_6341500,obs,basic,,,,
long_gaps,False,0.0,,,[],Longest internal missing gap = 0 day(s).,GRDC_6341500,obs,basic,>3 consecutive missing days,,,
